date,open,high,low,close,volume
2020-04-20,136.4,136.75,131.88,134.51,18700233.0
2020-04-21,131.99,132.86,127.0,130.52,19391746.0
2020-04-22,127.33,132.3,127.3,130.85,14686885.0
2020-04-23,132.9,132.9,128.6,129.9,12537857.0
2020-04-24,130.0,136.0,130.0,131.69,16991648.0
2020-04-27,133.02,136.0,132.08,133.91,14365453.0
2020-04-28,137.0,140.1,131.62,138.3,22691656.0
2020-04-29,136.13,140.19,136.01,138.72,11954408.0
2020-04-30,144.0,148.51,144.0,144.38,23338521.0
2020-05-06,139.0,146.8,138.75,145.79,19146391.0
2020-05-07,146.3,147.2,141.0,143.2,16078680.0
2020-05-08,143.0,145.22,140.89,144.08,14133880.0
2020-05-11,144.2,145.98,135.06,137.62,28536431.0
2020-05-12,139.06,139.88,135.73,139.0,16027660.0
2020-05-13,137.33,139.65,136.88,138.26,12154242.0
2020-05-14,137.85,138.25,135.5,135.6,11433488.0
2020-05-15,139.94,147.69,138.96,145.48,32212118.0
2020-05-18,145.0,145.0,139.69,141.81,16088936.0
2020-05-19,143.2,145.8,142.52,143.26,10425183.0
2020-05-20,150.0,155.4,149.01,149.3,32969279.0
2020-05-21,151.81,153.55,146.58,147.46,15487607.0
2020-05-22,146.62,146.86,141.0,142.81,14817295.0
2020-05-25,142.68,144.41,140.55,144.3,10378205.0
2020-05-26,145.77,150.41,145.2,150.03,17486531.0
2020-05-27,149.96,155.0,149.9,151.5,18104917.0
2020-05-28,149.99,150.9,143.5,147.84,17424709.0
2020-05-29,147.0,147.83,144.5,145.53,14142791.0
2020-06-01,147.47,153.03,146.36,150.95,15176562.0
2020-06-02,154.0,154.89,146.98,149.46,13703028.0
2020-06-03,150.0,151.12,147.81,148.5,11363532.0
2020-06-04,149.8,154.13,148.6,150.0,13757396.0
2020-06-05,149.55,151.35,147.26,151.2,9862700.0
2020-06-08,153.74,154.55,150.46,151.4,10560379.0
2020-06-09,154.5,155.97,153.1,153.96,15069925.0
2020-06-10,159.9,159.9,153.5,156.68,19821016.0
2020-06-11,160.0,170.08,158.13,163.98,36817709.0
2020-06-12,160.18,162.5,158.88,159.3,25244551.0
2020-06-15,156.23,161.26,155.51,157.7,15945246.0
2020-06-16,161.0,163.28,158.01,160.0,13129741.0
2020-06-17,159.04,160.5,156.01,157.8,12529134.0
2020-06-18,157.8,159.57,156.0,158.95,9656214.0
2020-06-19,159.98,168.8,159.15,165.9,25019327.0
2020-06-22,165.75,171.3,164.5,165.0,19041226.0
2020-06-23,166.0,169.13,163.52,168.89,15947506.0
2020-06-24,170.52,173.58,169.3,171.5,14660407.0
2020-06-29,170.5,172.5,169.01,171.04,11604049.0
2020-06-30,173.0,179.47,173.0,174.36,16251433.0
